€	euro
US$	dólar estadounidense
US$	dólar americano
$	dólar
$	peso
¥	yen
AED	dírham
AFN	afgani
ALL	lek
AMD	dram armenio
ANG	florín antillano neerlandés
AOA	kwanza
AOK	primer kwanza
AON	nuevo kwanza
AOR	kwanza reajustado
AR$	peso argentino
AUD	dólar australiano
AWG	florín arubeño
AZN	manat azerbaiyano
BAM	marco convertible
BBD	dólar barbadense
BDT	taka
BGN	leva búlgara
BHD	dinar bareiní
BIF	franco de burundi
BD$	dólar bermudeño
BND	dólar de brunéi
BOB	boliviano
BOV	boliviano con mantenimiento de valor respecto al dólar estadounidense
BRL	real brasileño
B$	dólar bahameño
BTN	ngultrum
BWP	pula
BYN	rublo bielorruso
BZ$	dólar beliceño
CAD	dólar canadiense
CDF	franco congoleño
CHE	euro wir
CHF	franco suizo
CHW	franco wir
CLF	unidad de fomento
CLP	peso chileno
CNY	yuan chino
COP	peso colombiano
COU	unidad de valor real
CRC	colón costarricense
₡	colón
CUC	peso convertible
CUP	peso cubano
CVE	escudo caboverdiano
DJF	franco yibutiano
DKK	corona danesa
RD$	peso dominicano
DZD	dinar argelino
EGP	libra egipcia
ERN	nakfa
ETB	birr etíope
FJ$	dólar fiyiano
FKP	libra malvinense
GBP	libra esterlina
GEL	lari
GHS	cedi ghanés
GIP	libra de gibraltar
GMD	dalasi
GNF	franco guineano
GTQ	quetzal
GYD	dólar guyanés
HKD	dólar de hong kong
HNL	lempira
HRK	kuna
HTG	gourde
HUF	forinto
IDR	rupia indonesia
ILS	nuevo séquel israelí
INR	rupia india
IQD	dinar iraquí
IRR	rial iraní
ISK	corona islandesa
JMD	dólar jamaiquino
JOD	dinar jordano
KES	chelín keniano
KGS	som
KHR	riel
KMF	franco comorense
KPW	won norcoreano
KR	corona
KWD	dinar kuwaití
KYD	dólar de las islas caimán
KZT	tenge
LAK	kip
LBP	libra libanesa
LKR	rupia de sri lanka
LRD	dólar liberiano
LSL	loti
LYD	dinar libio
MAD	dírham marroquí
MDL	leu moldavo
MGA	ariary malgache
MKD	denar
MMK	kyat
₮	tugrik
MOP$	pataca
MRU	uguiya
MUR	rupia de mauricio
MVR	rufiyaa
MWK	kwacha
Mex$	peso mexicano
MXV	unidad de inversión mexicana
MYR	ringgit malayo
MZN	metical mozambiqueño
NAD	dólar namibio
₦	naira
NIO	córdoba
NOK	corona noruega
NPR	rupia nepalí
NZ$	dólar neozelandés
OMR	rial omaní
PAB	balboa
S/	sol
PGK	kina
₱	peso filipino
PKR	rupia pakistaní
ZŁ	esloti
₲	guaraní
QAR	rial catarí
RON	leu rumano
RS	rupia
RSD	dinar serbio
RUB	rublo ruso
RWF	franco ruandés
SAR	rial saudí
SBD	dólar de las islas salomón
SCR	rupia seychelense
SDG	libra sudanesa
SEK	corona sueca
SGD	dólar de singapur
SHP	libra de santa elena
SLL	leone
SOS	chelín somalí
SRD	dólar surinamés
SSP	libra sursudanesa
STN	dobra
SVC	colón salvadoreño
SYP	libra siria
SZL	lilangeni
฿	baht
TJS	somoni tayiko
TMT	manat turcomano
TND	dinar tunecino
TOP	paʻanga
TTD	dólar de trinidad y tobago
TWD	nuevo dólar taiwanés
TZS	chelín tanzano
UAH	grivna
UGX	chelín ugandés
USN	dólar estadounidense siguiente día
UYI	peso uruguayo en unidades indexadas
UYU	peso uruguayo
UYW	unidad previsional uruguaya
UZS	som uzbeko
VES	bolívar soberano
₫	dong vietnamita
VUV	vatu
WST	tala
XAF	franco c f a de áfrica central
XAG	plata
XAU	oro
XCD	dólar del caribe oriental
XDR	derecho especial de giro
XOF	franco c f a de áfrica occidental
XPD	paladio
XPF	franco c f p
XPT	platino
XSU	sistema unitario de compensación regional
XUA	unidad de cuenta del banco africano de desarrollo
YER	rial yemení
ZAR	rand
ZMW	kwacha zambiano
ZWL	dólar zimbabuense
ADF	franco andorrano
ADP	peseta andorrana
AON	kwanza angoleño
AOR	kwanza angoleño reajustado
ARA	austral argentino
ARC	peso moneda corriente argentino
ARF	peso fuerte argentino
ARG	peso oro sellado argentino
ARL	peso ley argentino
ARM	peso moneda nacional argentino
ATS	chelín austríaco
BEF	franco belga
BGL	lev búlgaro
BOP	peso boliviano
CSK	corona checoslovaca
CLE	escudo chileno
CYP	libra chipriota
DDM	marco de rda
DEM	marco alemán
ECS	sucre ecuatoriano
ECV	unidad de valor constante ecuatoriana
EEK	corona estonia
EHP	peseta saharaui
FIM	marco finlandés
FRF	franco francés
GRD	dracma griega
IEP	libra irlandesa
ITL	lira italiana
LUF	franco luxemburgués
MTL	lira maltesa
NLG	florín neerlandés
PEH	sol de oro
PEI	inti
PLZ	esloti polaco
PTE	escudo portugués
SIT	tólar esloveno
SKK	corona eslovaca
SRG	guilder surinamés
SUR	rublo de la unión soviética
TRL	lira turca
VEB	bolívar venezolano
VEF	bolívar fuerte
XEU	unidad monetaria europea
YUD	nuevo dinar yugoslavo
YUM	dinar yugoslavo
ZAL	rand surafricano código de fondos
ZRN	nuevo zaire
ZRZ	zaire
£	libra
₩	won
FR	franco
MK	marco
KČ	corona checa
R$	real
₧	peseta
q	quetzal
