I	one
II	two
III	three
IV	four
V	five
VI	six
VII	seven
VIII	eight
IX	nine
X	ten
XI	eleven
XII	twelve
XIII	thirteen
XIV	fourteen
XV	fifteen
XVI	sixteen
XVII	seventeen
XVIII	eighteen
XIX	nineteen
XX	twenty
XXI	twenty one
XXII	twenty two
XXIII	twenty three
XXIV	twenty four
XXV	twenty five
XXVI	twenty six
XXVII	twenty seven
XXVIII	twenty eight
XXIX	twenty nine
XXX	thirty
XXXI	thirty one
XXXII	thirty two
XXXIII	thirty three
XXXIV	thirty four
XXXV	thirty five
XXXVI	thirty six
XXXVII	thirty seven
XXXVIII	thirty eight
XXXIX	thirty nine
XL	forty
XLI	forty one
XLII	forty two
XLIII	forty three
XLIV	forty four
XLV	forty five
XLVI	forty six
XLVII	forty seven
XLVIII	forty eight
XLIX	forty nine
L	fifty
LI	fifty one
LII	fifty two
LIII	fifty three
LIV	fifty four
LV	fifty five
LVI	fifty six
LVII	fifty seven
LVIII	fifty eight
LIX	fifty nine
LX	sixty
LXI	sixty one
LXII	sixty two
LXIII	sixty three
LXIV	sixty four
LXV	sixty five
LXVI	sixty six
LXVII	sixty seven
LXVIII	sixty eight
LXIX	sixty nine
LXX	seventy
LXXI	seventy one
LXXII	seventy two
LXXIII	seventy three
LXXIV	seventy four
LXXV	seventy five
LXXVI	seventy six
LXXVII	seventy seven
LXXVIII	seventy eight
LXXIX	seventy nine
LXXX	eighty
LXXXI	eighty one
LXXXII	eighty two
LXXXIII	eighty three
LXXXIV	eighty four
LXXXV	eighty five
LXXXVI	eighty six
LXXXVII	eighty seven
LXXXVIII	eighty eight
LXXXIX	eighty nine
XC	ninety
XCI	ninety one
XCII	ninety two
XCIII	ninety three
XCIV	ninety four
XCV	ninety five
XCVI	ninety six
XCVII	ninety seven
XCVIII	ninety eight
XCIX	ninety nine
C	one hundred
CI	one hundred one
CII	one hundred two
CIII	one hundred three
CIV	one hundred four
CV	one hundred five
CVI	one hundred six
CVII	one hundred seven
CVIII	one hundred eight
CIX	one hundred nine
CX	one hundred ten
CXI	one hundred eleven
CXII	one hundred twelve
CXIII	one hundred thirteen
CXIV	one hundred fourteen
CXV	one hundred fifteen
CXVI	one hundred sixteen
CXVII	one hundred seventeen
CXVIII	one hundred eighteen
CXIX	one hundred nineteen
CXX	one hundred twenty
CXXI	one hundred twenty one
CXXII	one hundred twenty two
CXXIII	one hundred twenty three
CXXIV	one hundred twenty four
CXXV	one hundred twenty five
CXXVI	one hundred twenty six
CXXVII	one hundred twenty seven
CXXVIII	one hundred twenty eight
CXXIX	one hundred twenty nine
CXXX	one hundred thirty
CXXXI	one hundred thirty one
CXXXII	one hundred thirty two
CXXXIII	one hundred thirty three
CXXXIV	one hundred thirty four
CXXXV	one hundred thirty five
CXXXVI	one hundred thirty six
CXXXVII	one hundred thirty seven
CXXXVIII	one hundred thirty eight
CXXXIX	one hundred thirty nine
CXL	one hundred forty
CXLI	one hundred forty one
CXLII	one hundred forty two
CXLIII	one hundred forty three
CXLIV	one hundred forty four
CXLV	one hundred forty five
CXLVI	one hundred forty six
CXLVII	one hundred forty seven
CXLVIII	one hundred forty eight
CXLIX	one hundred forty nine
CL	one hundred fifty
CLI	one hundred fifty one
CLII	one hundred fifty two
CLIII	one hundred fifty three
CLIV	one hundred fifty four
CLV	one hundred fifty five
CLVI	one hundred fifty six
CLVII	one hundred fifty seven
CLVIII	one hundred fifty eight
CLIX	one hundred fifty nine
CLX	one hundred sixty
CLXI	one hundred sixty one
CLXII	one hundred sixty two
CLXIII	one hundred sixty three
CLXIV	one hundred sixty four
CLXV	one hundred sixty five
CLXVI	one hundred sixty six
CLXVII	one hundred sixty seven
CLXVIII	one hundred sixty eight
CLXIX	one hundred sixty nine
CLXX	one hundred seventy
CLXXI	one hundred seventy one
CLXXII	one hundred seventy two
CLXXIII	one hundred seventy three
CLXXIV	one hundred seventy four
CLXXV	one hundred seventy five
CLXXVI	one hundred seventy six
CLXXVII	one hundred seventy seven
CLXXVIII	one hundred seventy eight
CLXXIX	one hundred seventy nine
CLXXX	one hundred eighty
CLXXXI	one hundred eighty one
CLXXXII	one hundred eighty two
CLXXXIII	one hundred eighty three
CLXXXIV	one hundred eighty four
CLXXXV	one hundred eighty five
CLXXXVI	one hundred eighty six
CLXXXVII	one hundred eighty seven
CLXXXVIII	one hundred eighty eight
CLXXXIX	one hundred eighty nine
CXC	one hundred ninety
CXCI	one hundred ninety one
CXCII	one hundred ninety two
CXCIII	one hundred ninety three
CXCIV	one hundred ninety four
CXCV	one hundred ninety five
CXCVI	one hundred ninety six
CXCVII	one hundred ninety seven
CXCVIII	one hundred ninety eight
CXCIX	one hundred ninety nine
CC	two hundred
CCI	two hundred one
CCII	two hundred two
CCIII	two hundred three
CCIV	two hundred four
CCV	two hundred five
CCVI	two hundred six
CCVII	two hundred seven
CCVIII	two hundred eight
CCIX	two hundred nine
CCX	two hundred ten
CCXI	two hundred eleven
CCXII	two hundred twelve
CCXIII	two hundred thirteen
CCXIV	two hundred fourteen
CCXV	two hundred fifteen
CCXVI	two hundred sixteen
CCXVII	two hundred seventeen
CCXVIII	two hundred eighteen
CCXIX	two hundred nineteen
CCXX	two hundred twenty
CCXXI	two hundred twenty one
CCXXII	two hundred twenty two
CCXXIII	two hundred twenty three
CCXXIV	two hundred twenty four
CCXXV	two hundred twenty five
CCXXVI	two hundred twenty six
CCXXVII	two hundred twenty seven
CCXXVIII	two hundred twenty eight
CCXXIX	two hundred twenty nine
CCXXX	two hundred thirty
CCXXXI	two hundred thirty one
CCXXXII	two hundred thirty two
CCXXXIII	two hundred thirty three
CCXXXIV	two hundred thirty four
CCXXXV	two hundred thirty five
CCXXXVI	two hundred thirty six
CCXXXVII	two hundred thirty seven
CCXXXVIII	two hundred thirty eight
CCXXXIX	two hundred thirty nine
CCXL	two hundred forty
CCXLI	two hundred forty one
CCXLII	two hundred forty two
CCXLIII	two hundred forty three
CCXLIV	two hundred forty four
CCXLV	two hundred forty five
CCXLVI	two hundred forty six
CCXLVII	two hundred forty seven
CCXLVIII	two hundred forty eight
CCXLIX	two hundred forty nine
CCL	two hundred fifty
CCLI	two hundred fifty one
CCLII	two hundred fifty two
CCLIII	two hundred fifty three
CCLIV	two hundred fifty four
CCLV	two hundred fifty five
CCLVI	two hundred fifty six
CCLVII	two hundred fifty seven
CCLVIII	two hundred fifty eight
CCLIX	two hundred fifty nine
CCLX	two hundred sixty
CCLXI	two hundred sixty one
CCLXII	two hundred sixty two
CCLXIII	two hundred sixty three
CCLXIV	two hundred sixty four
CCLXV	two hundred sixty five
CCLXVI	two hundred sixty six
CCLXVII	two hundred sixty seven
CCLXVIII	two hundred sixty eight
CCLXIX	two hundred sixty nine
CCLXX	two hundred seventy
CCLXXI	two hundred seventy one
CCLXXII	two hundred seventy two
CCLXXIII	two hundred seventy three
CCLXXIV	two hundred seventy four
CCLXXV	two hundred seventy five
CCLXXVI	two hundred seventy six
CCLXXVII	two hundred seventy seven
CCLXXVIII	two hundred seventy eight
CCLXXIX	two hundred seventy nine
CCLXXX	two hundred eighty
CCLXXXI	two hundred eighty one
CCLXXXII	two hundred eighty two
CCLXXXIII	two hundred eighty three
CCLXXXIV	two hundred eighty four
CCLXXXV	two hundred eighty five
CCLXXXVI	two hundred eighty six
CCLXXXVII	two hundred eighty seven
CCLXXXVIII	two hundred eighty eight
CCLXXXIX	two hundred eighty nine
CCXC	two hundred ninety
CCXCI	two hundred ninety one
CCXCII	two hundred ninety two
CCXCIII	two hundred ninety three
CCXCIV	two hundred ninety four
CCXCV	two hundred ninety five
CCXCVI	two hundred ninety six
CCXCVII	two hundred ninety seven
CCXCVIII	two hundred ninety eight
CCXCIX	two hundred ninety nine
CCC	three hundred
CCCI	three hundred one
CCCII	three hundred two
CCCIII	three hundred three
CCCIV	three hundred four
CCCV	three hundred five
CCCVI	three hundred six
CCCVII	three hundred seven
CCCVIII	three hundred eight
CCCIX	three hundred nine
CCCX	three hundred ten
CCCXI	three hundred eleven
CCCXII	three hundred twelve
CCCXIII	three hundred thirteen
CCCXIV	three hundred fourteen
CCCXV	three hundred fifteen
CCCXVI	three hundred sixteen
CCCXVII	three hundred seventeen
CCCXVIII	three hundred eighteen
CCCXIX	three hundred nineteen
CCCXX	three hundred twenty
CCCXXI	three hundred twenty one
CCCXXII	three hundred twenty two
CCCXXIII	three hundred twenty three
CCCXXIV	three hundred twenty four
CCCXXV	three hundred twenty five
CCCXXVI	three hundred twenty six
CCCXXVII	three hundred twenty seven
CCCXXVIII	three hundred twenty eight
CCCXXIX	three hundred twenty nine
CCCXXX	three hundred thirty
