real brasileño	reales brasileños
dírham	dírhams
afgani	afganis
lek	lekë
dram armenio	dram armenios
florín antillano neerlandés	florines antillanos neerlandeses
kwanza	kwanzas
primer kwanza	primeros kwanzas
nuevo kwanza	nuevos kwanzas
kwanza reajustado	kwanzas reajustados
peso argentino	pesos argentinos
dólar australiano	dólares australianos
florín arubeño	florines arubeños
manat azerbaiyano	manat azerbaiyanos
marco convertible	marcos convertibles
dólar barbadense	dólares barbadenses
taka	taka
dinar bareiní	dinares bareinís
franco de burundi	francos de burundi
dólar bermudeño	dólares bermudeños
dólar de brunéi	dólares de brunéi
boliviano	bolivianos
boliviano con mantenimiento de valor respecto al dólar estadounidense	bolivianos con mantenimiento de valor respecto al dólar estadounidense
dólar bahameño	dólares bahameños
ngultrum	ngultrum
rublo bielorruso	rublos bielorrusos
dólar beliceño	dólares beliceños
dólar canadiense	dólares canadienses
franco congoleño	francos congoleños
euro wir	euros wir
franco suizo	francos suizos
franco wir	francos wir
peso chileno	pesos chilenos
yuan chino	yuan chinos
peso colombiano	pesos colombianos
colón costarricense	colones costarricenses
peso convertible	pesos convertibles
peso cubano	pesos cubanos
escudo caboverdiano	escudos caboverdianos
franco yibutiano	francos yibutianos
peso dominicano	pesos dominicanos
dinar argelino	dinares argelinos
nakfa	nakfa
birr etíope	birr etíopes
euro	euros
dólar fiyiano	dólares fiyianos
lari	lari
cedi ghanés	cedis ghaneses
dalasi	dalasis
franco guineano	francos guineanos
quetzal	quetzales
dólar guyanés	dólares guyaneses
dólar de hong kong	dólares de hong kong
lempira	lempiras
forinto	forintos
nuevo séquel israelí	nuevos séqueles israelíes
dinar iraquí	dinares iraquíes
rial iraní	riales iraníes
dólar jamaiquino	dólares jamaiquinos
dinar jordano	dinares jordanos
yen	yenes
chelín keniano	chelines kenianos
som	som
riel	riel
franco comorense	francos comorenses
won norcoreano	wones norcoreanos
won	wones
dinar kuwaití	dinares kuwaitíes
dólar de las islas caimán	dólares de las islas caimán
tenge	tenge
kip	kip
dólar liberiano	dólares liberianos
loti	maloti
dinar libio	dinares libios
dírham marroquí	dírhams marroquíes
leu moldavo	lei moldavos
ariary malgache	ariary
denar	denares
kyat	kyats
tugrik	tugrik
kwacha	kwacha
ringgit malayo	ringgit malayos
metical mozambiqueño	meticales mozambiqueños
dólar namibio	dólares namibios
naira	naira
dólar neozelandés	dólares neozelandeses
rial omaní	riales omaníes
balboa	balboas
sol	soles
kina	kina
peso filipino	pesos filipinos
esloti	eslotis
guaraní	guaraníes
rial catarí	riales cataríes
leu rumano	lei rumanos
dinar serbio	dinares serbios
rublo ruso	rublos rusos
franco ruandés	francos ruandeses
rial saudí	riales saudíes
dólar de las islas salomón	dólares de las islas salomón
dólar de singapur	dólares de singapur
leone	leones
chelín somalí	chelines somalíes
dólar surinamés	dólares surinameses
libra sursudanesa	libras sursudanesas
dobra	dobras
lilangeni	emalangeni
baht	baht
somoni tayiko	somoni tayikos
manat turcomano	manat turcomanos
dinar tunecino	dinares tunecinos
paʻanga	paʻanga
dólar de trinidad y tobago	dólares de trinidad y tobago
nuevo dólar taiwanés	nuevos dólares taiwaneses
chelín tanzano	chelines tanzanos
chelín ugandés	chelines ugandeses
dólar estadounidense	dólares estadounidenses
dólar estadounidense siguiente día	dólares estadounidenses siguiente día
peso uruguayo en unidades indexadas	pesos uruguayos en unidades indexadas
peso uruguayo	pesos uruguayos
som uzbeko	som uzbekos
bolívar soberano	bolívares soberanos
dong vietnamita	dong vietnamitas
vatu	vatu
tala	tala
franco c f a de áfrica central	francos c f a de áfrica central
plata	plata
oro	oro
dólar del caribe oriental	dólares del caribe oriental
derecho especial de giro	derechos especiales de giro
franco c f a de áfrica occidental	francos c f a de áfrica occidental
paladio	paladio
franco c f p	francos c f p
platino	platino
sistema unitario de compensación regional	sistemas unitarios de compensación regional
rial yemení	riales yemeníes
rand	rand
kwacha zambiano	kwacha zambianos
dólar zimbabuense	dólares zimbabuenses
franco andorrano	francos andorranos
kwanza angoleño	kwanzas angoleños
kwanza angoleño reajustado	kwanzas angoleños reajustados
austral argentino	australes argentinos
peso moneda corriente argentino	pesos moneda corriente argentinos
peso fuerte argentino	pesos fuertes argentinos
peso oro sellado argentino	pesos oro sellado argentinos
peso ley argentino	pesos ley argentinos
peso moneda nacional argentino	pesos moneda nacional argentinos
peso argentino	pesos argentinos
chelín austríaco	chelines austríacos
franco belga	francos belgas
lev búlgaro	lev búlgaros
peso boliviano	pesos bolivianos
dinar serbio	dinares serbios
escudo chileno	escudos chilenos
marco de rda	marcos de rda
marco alemán	marcos alemanes
sucre ecuatoriano	sucres ecuatorianos
marco finlandés	marcos finlandeses
franco francés	francos franceses
franco luxemburgués	francos luxemburgueses
peso mexicano	pesos mexicanos
florín neerlandés	florines neerlandeses
sol de oro	soles de oro
inti	intis
esloti polaco	eslotis polacos
escudo portugués	escudos portugueses
rublo ruso	rublos rusos
tólar esloveno	tólares eslovenos
guilder surinamés	guilder surinameses
rublo de la unión soviética	rublos de la unión soviética
colón salvadoreño	colones salvadoreños
bolívar venezolano	bolívares venezolanos
bolívar fuerte	bolívares fuertes
nuevo dinar yugoslavo	nuevos dinares yugoslavos
dinar yugoslavo	dinares yugoslavos
rand surafricano código de fondos	rands surafricanos código de fondos
nuevo zaire	nuevos zaires
zaire	zaires
kwacha zambiano	kwacha zambianos
fils	fils
pul	pul
qindarke	qindarka
luma	luma
centavo	centavos
céntimo	céntimos
lwei	lwei
qəpik	qəpik
centavo con mantenimiento de valor respecto al dólar estadounidense	centavos con mantenimiento de valor respecto al dólar estadounidense
chertum	chertums
thebe	thebe
kap	kopeks
haléř	haléř
øre	øre
santim	santim
penique	peniques
tetri	tetri
butut	bututs
lipa	lipa
krajczár	krajczár
sen	sen
agorot	agorot
paisa	paise
dinar	dinares
aurar	aurar
qirsh	qirsh
chon	chon
tiyin	tiyin
att	att
sente	lisente
ban	bani
deni	deni
mongo	mongo
avo	avos
jum	jums
laari	laari
kobo	kobo
øre	øre
baisa	baise
centésimo	centésimos
toea	toea
groszy	groszy
dirham	dirhams
öre	öre
diram	dirams
pfennig	pfennigs
kopek	kopeks
para	para
halalá	halalás
satang	satang
teňňe	teňňe
millime	millimes
seniti	seniti
kuruş	kuruş
xu	xu
sene	sene
ngwee	ngwee
heller	hellers
stotin	stotinov
dólar	dólares
won	wones
franco	francos
marco	marcos
yen	yenes
real	reales
colón	colones
quetzal	quetzales
