ud.	usted
Ud.	usted
uds.	ustedes
Uds.	ustedes
Vd.	vosotros
Vds.	vosotros
vd.	vosotros
vds.	vosotros
D.	Don
Da.	Doña
Dr.	Doctor
Dra.	Doctora
dr.	doctor
dra.	doctora
d.	don
da.	doña
E	este
EE. UU.	Estados Unidos
ee. uu.	estados unidos
Gob.	gobierno
gob.	gobierno
esq.	esquina
Av.	avenida
Avda.	avenida
av.	avenida
avda.	avenida
avd.	avenida
O	oeste
pág.	página
p.ej.	por ejemplo
p. ej.	por ejemplo
Prof.	profesor
Profa.	profesora
prof.	profesor
profa.	profesora
S	sur
N	norte
Sr.	señor
sr.	señor
Sra.	señora
sra.	señora
Srta.	señorita
srta.	señorita
tel.	teléfono
arr.º	arrollo
blvr.	bulevar
blvd.	bulevar
c/	calle
c.°	camino
c.º a.	camino alto
c.º b.	camino bajo
c.º v.	camino viejo
carr.ª	carrera
ctra.	carretera
carret.	carretera
cta.	cuenta
pje.	pasaje
p.º	paseo
p.º a.	paseo alto
p.º b.	paseo bajo
pza.	plaza
plza.	plaza
rbla.	rambla
vda.	vereda
