1	an chéad lá
2	an dara lá
3	an tríú lá
4	an ceathrú lá
5	an cúigiú lá
6	an séú lá
7	an seachtú lá
8	an t-ochtú lá
9	an naoú lá
10	an deichiú lá
11	an t-aonú lá déag
12	an dóú lá déag
13	an tríú lá déag
14	an ceathrú lá déag
15	an cúigiú lá déag
16	an séú lá déag
17	an seachtú lá déag
18	an t-ochtú lá déag
19	an naoú lá déag
20	an fichiú lá
21	an t-aonú lá is fiche
22	an dóú lá is fiche
23	an tríú lá is fiche
24	an ceathrú lá is fiche
25	an cúigiú lá is fiche
26	an séú lá is fiche
27	an seachtú lá is fiche
28	an t-ochtú lá is fiche
29	an naoú lá is fiche
30	an tríochadú lá
31	an t-aonú lá is tríocha
