°F	градусов Фаренгейта
°F	градусов по Фаренгейту
°F	градусов фаренгейта
°F	градусов по фаренгейту
°C	градусов цельсия
°C	градусов по цельсию
°	градус
°	градусов
рад	радиан
рад	радианов
км	километр
км	километров
м	метр
м	метра
м	метров
см	сантиметр
см	сантиметра
см	сантиметров
мм	миллиметр
мм	миллиметра
мм	миллиметров
га	гектар
га	гектара
га	гектаров
м²	квадратный метр	-0.1
м²	квадратных метров	-0.1
м²	квадратных метра	-0.1
м2	квадратный метр	0.1
м2	квадратных метра	0.1
м2	квадратных метров	0.1
₽	рублей
₽	рубля
₽	рубль
км²	квадратный километр	-0.1
км2	квадратных километра	0.1
км2	квадратных километров	0.1
%	процент
%	процента
%	процентов
кВт	киловатт
кВт	киловатта
кВт	киловаттов
л. с.	лошадиная сила
л. с.	лошадиные силы
л. с.	лошадиных сил
мг	миллиграм
мг	миллиграма
мг	миллиграмов
кг	килограм
кг	килограма
кг	килограмов
л	литр
л	литра
л	литров
кл	килолитр
кл	килолитра
кл	килолитров
гл	гектолитр
гл	гектолитра
гл	гектолитров
Мл	мегалитр
Мл	мегалитра
Мл	мегалитров
Гл	гигалитр
Гл	гигалитра
Гл	гигалитров
мл	миллиитр
мл	миллиитра
мл	миллиитров
ч	час
ч	часа
ч	часов
сек.	секунд	-0.1
сек.	секунда	-0.1
сек.	секунды	-0.1
с	секунд	0.1
с	секунда	0.1
с	секунды	0.1
дас	декасекунд
дас	декасекунда
дас	декасекунды
кс	килосекунд
кс	килосекунда
кс	килосекунды
Мс	мегасекунд
Мс	мегасекунды
Мс	мегасекунда
мс	миллисекунд
мс	миллисекунды
мс	миллисекунда
нм	нанометр
нм	нанометра
нм	нанометров
А	ампер
А	ампера
К	кельвин
К	кельвина
кд	кандела
мА	миллиампер
мА	миллиампера
кВт⋅ч	киловатт час
кВт⋅ч	киловатта час
м³	кубический метр	-0.1
м³	кубических метров	-0.1
м³	кубических метра	-0.1
м3	кубический метр	0.1
м3	кубических метра	0.1
м3	кубических метров	0.1
м³	кубометр	-0.1
м³	кубометра	-0.1
м³	кубометров	-0.1
км/ч	километров в час
км/ч	километра в час
км/ч	километр в час
В	вольт
гВ	гектовольт
кВ	киловольт
МВ	мегавольт
мВ	милливольт
мВт	мегаватт
ТВт	тераватт
мкм	микрометр
г	грамм
г	граммов
дБ	децибел
Б	байт
Кбайт	килобайт
Мбайт	мегабайт
Пбайт	петабайт
Тбайт	терабайт	0.1
ТБ	терабайт	-0.1
Гбайт	гигабайт	0.1
Гб	гигабайт	-0.1
Гц	герц
даГц	декагерц
дГц	децигерц
гГц	гектогерц
сГц	сантигерц
кГц	килогерц
мГц	миллигерц
МГц	мегагерц
мкГц	микрогерц
ГГц	гигагерц
нГц	наногерц
ТГц	терагерц
пГц	пикогерц
ПГц	петагерц
фГц	фемтогерц
ЭГц	эксагерц
аГц	аттогерц
ЗГц	зеттагерц
зГц	зептогерц
ИГц	иоттагерц
иГц	иоктогерц
кбит	килобит
Мбит	мегабит
Гбит	гигабит
Тбит	терабит
бит/с	бит в секунду
кбит/с	килобит в секунду
Мбит/с	мегабит в секунду
Гбит/с	гигабит в секунду
нс	наносекунда
нс	наносекунды
нс	наносекунд
мм²	квадратный миллиметр	-0.1
мм²	квадратных миллиметров	-0.1
мм²	квадратных миллиметра	-0.1
мм2	квадратный миллиметр	0.1
мм2	квадратных миллимета	0.1
мм2	квадратных миллиметров	0.1
см²	квадратный сантиметр	-0.1
см²	квадратных сантимета	-0.1
см²	квадратных сантиметров	-0.1
см2	квадратный сантиметр	0.1
см2	квадратных сантиметра	0.1
см2	квадратных сантиметров	0.1
