0	ноле
0	нуле
1	одной
1	одном
2	двух
3	трех
4	четырех
5	пяти
6	шести
7	семи
8	восьми
9	девяти
10	десяти
11	одиннадцати
12	двенадцати
13	тринадцати
14	четырнадцати
15	пятнадцати
16	шестнадцати
17	семнадцати
18	восемнадцати
19	девятнадцати
20	двадцати
30	тридцати
40	сорока
50	пятидесяти
60	шестидесяти
70	семидесяти
90	девяноста
100	ста
200	двухстах
300	трехстах
400	четырехстах
500	пятистах
600	шестистах
700	семистах
800	восьмистах
900	девятистах
900	девятьсот
900	девятьюстами
1000	тысячах
1000	тысяче
1000000	миллионах
1000000	миллионе
1000000000	миллиардах
1000000000	миллиарде
