00	ноль часов
01	час
01	час ночи
01	один час
01	один час ночи
02	два часа
02	два часа ночи
03	три часа
03	три часа ночи
04	четыре часа
04	четыре часа ночи
05	пять часов
05	пять часов утра
06	шесть часов
06	шесть часов утра
07	семь часов
07	семь часов утра
08	восемь часов
08	восемь часов утра
09	девять часов
09	девять часов утра
10	десять часов
10	десять часов утра
11	одиннадцать часов
12	двенадцать часов
13	тринадцать часов
13	один час
13	час
13	час дня
13	один час дня
14	четырнадцать часов
14	два часа
14	два часа дня
15	пятнадцать часов
15	три часа
15	три часа дня
16	шестнадцать часов
16	четыре часа
16	четыре часа дня
17	семнадцать часов
17	пять часов
17	пять часов вечера
18	восемьнадцать часов
18	шесть часов
18	шесть часов вечера
19	девятнадцать часов
19	семь часов
19	семь часов вечера
20	двадцать часов
20	восемь часов
20	восемь часов вечера
21	двадцать один час
21	девять часов
21	девять часов вечера
22	двадцать два часа
22	десять часов
22	десять часов вечера
23	двадцать три часа
23	одиннадцать часов
23	одиннадцать часов вечера
