гг.	годы
г.	год
г.	году
г.	год
г.	года
г.	годом
г.	годе
§	параграф
комн.	комнатная
эт.	этажный
кв.	квартира
кв.	квартал
кв.	квартала
кв.	кварталу
кв.	кварталом
кв.	квартале
ЖК	женская консультация
ЖК	жидкие кристаллы
ЖК	жилой комплекс
ЖК	жилищный кооператив
ЖК	жилищный кодекс
р-н	район
до н. э.	до нашей эры
н. э.	нашей эры
см. также	смотри также
с.ш.	северной широты
ю.ш.	южной широты
в.д.	восточной долготы
з.д.	западной долготы
и т. д.	и так далее
и т. п.	и тому подобное
б/у	бывший в употреблении
экз.	экземпляр
экз.	экземпляры
и др.	и другие
и пр.	и прочие
т.е.	то есть
