ABSTRACT_ADJ-NOU  ˈæbˌstɹækt
ABSTRACT_VRB  æbˈstɹækt
ABUSE_NOU  əbˈjus
ABUSE_VRB  əbˈjuz
ABUSES_NOU  əbˈjusɪz
ABUSES_VRB  əbˈjuzɪz
ADDICT_NOU  ˈæˌdɪkt
ADDICT_VRB  əˈdɪkt
ADVOCATE_NOU  ˈædvəkət
ADVOCATE_VRB  ˈædvəˌkeɪt
AFFECT_NOU-PSY  ˈæˌfɛkt
AFFECT  əˈfɛkt
AFFILIATE_NOU  əˈfɪliət
AFFILIATE_VRB  əˈfɪliˌeɪt
AGED_ADJ  ˈeɪdʒɪd
AGED  ˈeɪdʒd
AGGREGATE_ADJ-NOU  ˈæɡɹəɡət
AGGREGATE_VRB  ˈæɡɹəɡeɪt
ALTERNATE_ADJ-NOU  ˈɔltɚnət
ALTERNATE_VRB  ˈɔltɚˌneɪt
ANALYSES_NOU  æˈnælɪˌsiz
ANALYSES_VRB  ænəˈlaɪˌzɪz
ANIMATE_ADJ-NOU  ˈænəmət
ANIMATE_VRB  ˈænəˌmeɪt
APPROPRIATE_ADJ  əˈpɹoʊpɹiət
APPROPRIATE_VRB  əˈpɹoʊpɹiˌeɪt
APPROXIMATE_ADJ-NOU  əˈpɹɑksəmət
APPROXIMATE_VRB  əˈpɹɑksəˌmeɪt
ARTICULATE_ADJ  ɑɹˈtɪkjələt
ARTICULATE_VRB  ɑɹˈtɪkjəˌleɪt
ASSOCIATE_ADJ-NOU  əˈsoʊsiət
ASSOCIATE_VRB  əˈsoʊsiˌeɪt
ATTRIBUTE_NOU  ˈætɹəbˌjut
ATTRIBUTE_VRB  əˈtɹɪbˌjut
AUGUST_ADJ  ˌɑˈɡəst
AUGUST  ˈɑɡəst
AUGUST_NAM  ˈaʊˌɡʊst
AXES_NOU  ˈækˌsiz
AXES_NOU-VRB  ˈækˌsɪz
BASS  ˈbeɪs
BASS_CORP  ˈbæs
BLESSED_ADJ  ˈblɛsəd
BLESSED_VRB  ˈblɛst
BOLOGNA_GEO  bəˈloʊˌŋɑ
BOLOGNA  bəˈloʊni
BOW_NOU-KNOT  ˈboʊ
BOW_NOU-SHIP  ˈbaʊ
BUFFET_NOU  bəˈfeɪ
BUFFET_VRB  ˈbʌfət
CELTIC_ADJ-NOU-SPORTS  ˈsɛltɪk
CELTIC  ˈkɛltɪk
CLOSE_ADJ-NOU  ˈkloʊs
CLOSE_VRB  ˈkloʊz
COMBINE_NOU  ˈkɑmbaɪn
COMBINE_VRB  kəmˈbaɪn
COMPACT_ADJ-NOU  ˈkɑmpækt
COMPACT_VRB  kəmˈpækt
COMPOUND_NOU  ˈkɑmpaʊnd
COMPOUND_VRB  kəmˈpaʊnd
COMPRESS_NOU  ˈkɑmpɹɛs
COMPRESS  kəmˈpɹɛs
CONDUCT_NOU  ˈkɑndəkt
CONDUCT_VRB  kɑnˈdʌkt
CONFINES_NOU  ˈkɑnˌfaɪnz
CONFINES_VRB  kənˈfaɪnz
CONFLICT_NOU  ˈkɑnflɪkt
CONFLICT_VRB  kənˈflɪkt
CONGLOMERATE_ADJ-NOU  kənˈɡlɑmɚət
CONGLOMERATE_VRB  kənˈɡlɑmɝˌeɪt
CONJUGATE_ADJ-NOU  ˈkɑndʒəˌɡeɪt
CONJUGATE_VRB  ˈkɑndʒəˌɡeɪt
CONSCRIPT_NOU  ˈkɑnsˌkɹɪpt
CONSCRIPT_VRB  kənsˈkɹɪpt
CONSOLE_NOU  ˈkɑnsoʊl
CONSOLE_VRB  kənˈsoʊl
CONSORT_NOU  ˈkɑnˌsɔɹt
CONSORT_VRB  kənˈsɔɹt
CONSTRUCT_NOU  ˈkɑnstɹəkt
CONSTRUCT_VRB  kənˈstɹʌkt
CONSUMMATE_ADJ  ˈkɑnsəmət
CONSUMMATE_VRB  ˈkɑnsəˌmeɪt
CONTENT_ADJ-NOU-VRB  kənˈtɛnt
CONTENT_NOU  ˈkɑntɛnt
CONTEST_NOU  ˈkɑntɛst
CONTEST_VRB  kənˈtɛst
CONTRACT_NOU  ˈkɑnˌtɹækt
CONTRACT_VRB  kənˈtɹækt
CONTRAST_NOU  ˈkɑntɹæst
CONTRAST_VRB  kənˈtɹæst
CONVERSE_ADJ-NOU  ˈkɑnvɚs
CONVERSE_VRB  kənˈvɝs
CONVERT_NOU  ˈkɑnvɚt
CONVERT_VRB  kənˈvɝt
CONVICT_NOU  ˈkɑnvɪkt
CONVICT_VRB  kənˈvɪkt
COORDINATE_ADJ-NOU  koʊˈɔɹdənət
COORDINATE_VRB  koʊˈɔɹdəˌneɪt
CORRELATE_NOU  ˈkɔɹələt
CORRELATE_NOU-VRB  ˈkɔɹəˌleɪt
DECREASE_NOU  ˈdiˌkɹis
