word_id	nemo_ipa_cmu
abstract_adj-nou	ˈæbˌstɹækt
abstract_vrb	æbˈstɹækt
abuse_nou	əbˈjus
abuse_vrb	əbˈjuz
abuses_nou	əbˈjusɪz
abuses_vrb	əbˈjuzɪz
addict_nou	ˈæˌdɪkt
addict_vrb	əˈdɪkt
advocate_nou	ˈædvəkət
advocate_vrb	ˈædvəˌkeɪt
affect_nou-psy	ˈæˌfɛkt
affect	əˈfɛkt
affiliate_nou	əˈfɪliət
affiliate_vrb	əˈfɪliˌeɪt
aged_adj	ˈeɪdʒɪd
aged	ˈeɪdʒd
aggregate_adj-nou	ˈæɡɹəɡət
aggregate_vrb	ˈæɡɹəɡeɪt
alternate_adj-nou	ˈɔltɚnət
alternate_vrb	ˈɔltɚˌneɪt
analyses_nou	æˈnælɪˌsiz
analyses_vrb	ænəˈlaɪˌzɪz
animate_adj-nou	ˈænəmət
animate_vrb	ˈænəˌmeɪt
appropriate_adj	əˈpɹoʊpɹiət
appropriate_vrb	əˈpɹoʊpɹiˌeɪt
approximate_adj-nou	əˈpɹɑksəmət
approximate_vrb	əˈpɹɑksəˌmeɪt
articulate_adj	ɑɹˈtɪkjələt
articulate_vrb	ɑɹˈtɪkjəˌleɪt
associate_adj-nou	əˈsoʊsiət
associate_vrb	əˈsoʊsiˌeɪt
attribute_nou	ˈætɹəbˌjut
attribute_vrb	əˈtɹɪbˌjut
august_adj	ˌɑˈɡəst
august	ˈɑɡəst
august_nam	ˈaʊˌɡʊst
axes_nou	ˈækˌsiz
axes_nou-vrb	ˈækˌsɪz
bass	ˈbeɪs
bass_corp	ˈbæs
blessed_adj	ˈblɛsəd
blessed_vrb	ˈblɛst
bologna_geo	bəˈloʊˌŋɑ
bologna	bəˈloʊni
bow_nou-knot	ˈboʊ
bow_nou-ship	ˈbaʊ
buffet_nou	bəˈfeɪ
buffet_vrb	ˈbʌfət
celtic_adj-nou-sports	ˈsɛltɪk
celtic	ˈkɛltɪk
close_adj-nou	ˈkloʊs
close_vrb	ˈkloʊz
combine_nou	ˈkɑmbaɪn
combine_vrb	kəmˈbaɪn
compact_adj-nou	ˈkɑmpækt
compact_vrb	kəmˈpækt
compound_nou	ˈkɑmpaʊnd
compound_vrb	kəmˈpaʊnd
compress_nou	ˈkɑmpɹɛs
compress	kəmˈpɹɛs
conduct_nou	ˈkɑndəkt
conduct_vrb	kɑnˈdʌkt
confines_nou	ˈkɑnˌfaɪnz
confines_vrb	kənˈfaɪnz
conflict_nou	ˈkɑnflɪkt
conflict_vrb	kənˈflɪkt
conglomerate_adj-nou	kənˈɡlɑmɚət
conglomerate_vrb	kənˈɡlɑmɝˌeɪt
conjugate_adj-nou	ˈkɑndʒəˌɡeɪt
conjugate_vrb	ˈkɑndʒəˌɡeɪt
conscript_nou	ˈkɑnsˌkɹɪpt
conscript_vrb	kənsˈkɹɪpt
console_nou	ˈkɑnsoʊl
console_vrb	kənˈsoʊl
consort_nou	ˈkɑnˌsɔɹt
consort_vrb	kənˈsɔɹt
construct_nou	ˈkɑnstɹəkt
construct_vrb	kənˈstɹʌkt
consummate_adj	ˈkɑnsəmət
consummate_vrb	ˈkɑnsəˌmeɪt
content_adj-nou-vrb	kənˈtɛnt
content_nou	ˈkɑntɛnt
contest_nou	ˈkɑntɛst
contest_vrb	kənˈtɛst
contract_nou	ˈkɑnˌtɹækt
contract_vrb	kənˈtɹækt
contrast_nou	ˈkɑntɹæst
contrast_vrb	kənˈtɹæst
converse_adj-nou	ˈkɑnvɚs
converse_vrb	kənˈvɝs
convert_nou	ˈkɑnvɚt
convert_vrb	kənˈvɝt
convict_nou	ˈkɑnvɪkt
convict_vrb	kənˈvɪkt
coordinate_adj-nou	koʊˈɔɹdənət
coordinate_vrb	koʊˈɔɹdəˌneɪt
correlate_nou	ˈkɔɹələt
correlate_nou-vrb	ˈkɔɹəˌleɪt
decrease_nou	ˈdiˌkɹis
decrease_vrb	dɪˈkɹis
defect_nou	ˈdifɛkt
defect_vrb	dɪˈfɛkt
degenerate_adj-nou	dɪˈdʒɛnɚət
degenerate_vrb	dɪˈdʒɛnɚˌeɪt
delegate_nou	ˈdɛləɡət
delegate_vrb	ˈdɛləˌɡeɪt
deliberate_adj	dɪˈlɪbɚət
deliberate_vrb	dɪˈlɪbɚˌeɪt
desert_nou	ˈdɛzɚt
desert_vrb	dɪˈzɝt
deviate_nou	ˈdiˌviət
deviate_vrb	ˈdiviˌeɪt
diagnoses_nou	ˌdaɪəɡˈnoʊsiz
diagnoses_vrb	ˌdaɪəɡˈnoʊsəz
diffuse_adj	dɪfˈjus
diffuse_vrb	dɪfˈjuz
discard_nou	ˈdɪsˌkɑɹd
discard_vrb	dəsˈkɑɹd
discharge_nou	ˈdɪsˌtʃɑɹdʒ
discharge_vrb	dɪsˈtʃɑɹdʒ
discount_nou	ˈdɪskaʊnt
discount_vrb	dɪˈskaʊnt
document_nou	ˈdɑkjumɛnt
document_vrb	ˈdɑkjəmɛnt
dove	ˈdʌv
dove_vrb	ˈdoʊv
duplicate_adj-nou	ˈdupləkət
duplicate_vrb	ˈdupləˌkeɪt
elaborate_adj	ɪˈlæbɹət
elaborate_vrb	ɪˈlæbɚˌeɪt
entrance_nou	ˈɛntɹəns
entrance_vrb	əˈntɹæns
escort_nou	ˈɛskɔɹt
escort_vrb	ɛˈskɔɹt
estimate_nou	ˈɛstəmət
estimate_vrb	ˈɛstəˌmeɪt
excuse_nou	ɪkˈskjus
excuse_vrb	ɪkˈskjuz
expatriate_nou	ɛkˈspeɪtɹiət
expatriate_vrb	ɛkˈspeɪtɹiˌeɪt
exploit_nou	ˈɛksˌplɔɪt
exploit_vrb	ˌɛksˈplɔɪt
export_nou	ˈɛkspɔɹt
export_vrb	əkˈspɔɹt
expose_nou	ˌɛkˌspoʊˈzeɪ
expose_vrb	ɪkˈspoʊz
extract_nou	ˈɛkˌstɹækt
extract_vrb	ɪkˈstɹækt
fragment_nou	ˈfɹæɡmənt
fragment_vrb	ˌfɹæɡˈmɛnt
frequent_adj	ˈfɹikwənt
frequent_vrb	ˌfɹiˈkwɛnt
graduate_adj-nou	ˈɡɹædʒuwət
graduate_vrb	ˈɡɹædʒuˌeɪt
house_nou	ˈhaʊs
house_vrb	ˈhaʊz
impact_nou	ˈɪmpækt
impact_vrb	ˌɪmˈpækt
implant_nou	ˈɪmˌplænt
implant_vrb	ˌɪmˈplænt
implement_nou	ˈɪmpləmənt
implement_vrb	ˈɪmpləˌmɛnt
import_nou	ˈɪmˌpɔɹt
import_vrb	ˌɪmˈpɔɹt
incense_nou	ˈɪnˌsɛns
incense_vrb	ˌɪnˈsɛns
incline_nou	ˈɪnklaɪn
incline_vrb	ˌɪnˈklaɪn
increase_nou	ˈɪnˌkɹis
increase_vrb	ˌɪnˈkɹis
increment_nou	ˈɪnkɹəmənt
increment_vrb	ˈɪnkɹəˌmɛnt
initiate_nou	əˈnɪˌʃiət
initiate_vrb	ˌɪˈnɪʃiˌeɪt
insert_nou	ˈɪnˌsɝt
insert_vrb	ˌɪnˈsɝt
instrument_nou	ˈɪnstɹəmənt
instrument_vrb	ˈɪnstɹəˌmɛnt
insult_nou	ˈɪnˌsʌlt
insult_vrb	ˌɪnˈsʌlt
interchange_nou	ˈɪntɚˌtʃeɪndʒ
interchange_vrb	ˌɪntɚˈtʃeɪndʒ
intimate_adj	ˈɪntəmət
intimate_vrb	ˈɪntɪˌmeɪt
intrigue_nou	ˈɪntɹiɡ
intrigue_nou-vrb	ˌɪnˈtɹiɡ
invalid_adj	ˌɪnˈvæləd
invalid_nou	ˈɪnvələd
invert_adj-nou	ˈɪnvɝt
invert_vrb	ˌɪnˈvɝt
invite_nou	ˈɪnˌvaɪt
invite_vrb	ˌɪnˈvaɪt
isolate_nou	ˈaɪsələt
isolate	ˈaɪsəˌleɪt
jesus	ˈdʒizəs
jesus_es	ˌheɪˈsus
job_bible	ˈdʒoʊb
job	ˈdʒɑb
laminate_nou	ˈlæmənət
laminate_vrb	ˈlæməˌneɪt
lead_nou	ˈlɛd
lead_nou-vrb	ˈlid
learned_adj	ˈlɝnɪd
learned_vrb	ˈlɝnd
live_adj	ˈlaɪv
live_vrb	ˈlɪv
lives_nou	ˈlaɪvz
lives_vrb	ˈlɪvz
mate_nou	ˈmɑˌteɪ
mate	ˈmeɪt
minute_adj	maɪˈnut
minute	ˈmɪnət
misuse_nou	mɪsˈjus
misuse_vrb	mɪsˈjuz
mobile	ˈmoʊbəl
mobile_geo	ˌmoʊˈbil
mobile_nou-art	ˈmoʊˌbil
moderate_adj-nou	ˈmɑdɚət
moderate_vrb	ˈmɑdɚˌeɪt
moped_nou	ˈmoʊpɛd
moped_vrb	ˈmoʊpt
mouth_nou	ˈmaʊθ
mouth_vrb	ˈmaʊð
nestle_nam	ˈnɛsˈli
nestle_vrb	ˈnɛsəl
object_nou	ˈɑbdʒɛkt
object_vrb	əbˈdʒɛkt
ornament_nou	ˈɔɹnəmənt
ornament_vrb	ˌɔɹnəˈmɛnt
overthrow_nou	ˈoʊvɚˌθɹoʊ
overthrow_vrb	ˌoʊvɚˈθɹoʊ
pasty_adj	ˈpeɪˌsti
pasty_nou	ˈpæsˌti
perfect_adj	ˈpɝˌfɪkt
perfect_vrb	pɚˈfɛkt
perfume_nou	ˈpɝˌfjum
perfume_vrb	pɚˈfjum
permit_nou	ˈpɝˌmɪt
permit_vrb	pɚˈmɪt
pervert_nou	ˈpɝvɚt
pervert_vrb	pɚˈvɝt
pigment_nou	ˈpɪɡmɛnt
pigment_vrb	pəɡˈmɛnt
polish_geo	ˈpoʊlɪʃ
polish	ˈpɑlɪʃ
postulate_nou	ˈpɑstʃələt
postulate_vrb	ˈpɑstʃəˌleɪt
precipitate_adj-nou	pɹəˈsɪpətət
precipitate_vrb	pɹɪˈsɪpɪˌteɪt
predicate_nou	ˈpɹɛdɪkət
predicate_vrb	ˈpɹɛdəˌkeɪt
present_adj-nou	ˈpɹɛzənt
present_vrb	pɹiˈzɛnt
produce_nou	ˈpɹoʊdus
produce_vrb	pɹəˈdus
progress_nou	ˈpɹɑˌɡɹɛs
progress_vrb	pɹəˈɡɹɛs
project_nou	ˈpɹɑdʒɛkt
project_vrb	pɹɑˈdʒɛkt
protest_nou	ˈpɹoʊˌtɛst
protest_vrb	pɹəˈtɛst
ravel_nam	ɹəˈvɛl
ravel_nou	ˈɹævəl
reading_en	ˈɹidɪŋ
reading_geo	ˈɹɛdɪŋ
read_past	ˈɹɛd
read_present	ˈɹid
rebel_nou	ˈɹɛbəl
rebel_vrb	ɹɪˈbɛl
record_nou	ˈɹɛkɚd
record_vrb	ɹəˈkɔɹd
recount_nou	ˈɹiˌkaʊnt
recount_vrb	ˌɹiˈkaʊnt
refund_nou	ˈɹiˌfʌnd
refund_vrb	ɹɪˈfʌnd
refuse_nou	ˈɹɛfˌjuz
refuse_vrb	ɹəfˈjuz
reject_nou	ˈɹidʒɛkt
reject_vrb	ɹɪˈdʒɛkt
rerelease	ˈɹiɹəˌlis
rerelease_vrb	ˌɹiɹəˈlis
resume_nou	ˈɹɛzəˌmeɪ
resume_vrb	ɹiˈzum
retard_nou	ˈɹitɑɹd
retard_vrb	ɹɪˈtɑɹd
rodeo_geo	ˌɹoʊˈdeɪˌoʊ
rodeo	ˈɹoʊdiˌoʊ
row_1	ˈɹoʊ
row_2	ˈɹaʊ
sake_jp	ˈsɑˌkeɪ
sake	ˈseɪk
separate_adj	ˈsɛpɚɪt
separate_vrb	ˈsɛpɚˌeɪt
sow_nou	ˈsaʊ
sow	ˈsoʊ
subject_adj-nou	ˈsʌbdʒɪkt
subject_vrb	səbˈdʒɛkt
subordinate_adj-nou	səˈbɔɹdənət
subordinate_vrb	səˈbɔɹdəˌneɪt
supplement_nou	ˈsʌpləmənt
supplement_vrb	ˈsʌpləmənt
suspect_adj-nou	ˈsʌsˌpɛkt
suspect_vrb	səˈspɛkt
syndicate_nou	ˈsɪndɪkət
syndicate_vrb	ˈsɪndəˌkeɪt
tear_nou	ˈtɪɹ
tear_vrb	ˈtɛɹ
transform_nou	ˈtɹænsfɔɹm
transform	tɹænsˈfɔɹm
transplant_nou	ˈtɹænsˌplænt
transplant_vrb	tɹænsˈplænt
transport_nou	ˈtɹænspɔɹt
transport_vrb	tɹænˈspɔɹt
upset_nou	ˈʌpˌsɛt
upset_vrb	əpˈsɛt
uses_nou	ˈjusəz
uses_vrb	ˈjuzəz
use_nou	ˈjus
use_vrb	ˈjuz
wind_nou	ˈwɪnd
wind_vrb	ˈwaɪnd
winds_nou	ˈwɪndz
winds_vrb	ˈwaɪndz
wound_nou-vrb	ˈwund
wound_vrb	ˈwaʊnd
